concelho;IndRural;pop.res;Perc.pop.Act;Perc.criancas;Perc.idosos;TxDesemp;Hospitais1000;CentrosSaude1000;Rendim;Escolaridade;PropMulheres;HabCentrosSaude;N.Cxs.MB;Ano
Viana do Alentejo;0,52;5365;0,635601118;0,132898416;0,231500466;0,076;0;0,18639329;825,3;6,36;0,517;1910,7;8;2016
Viana do Castelo;0,05;86378;0,663131816;0,12851652;0,208351664;0,075;0,023154044;0,034731066;918,3;7,65;0,531;5912,4;97;2016
Vidigueira;0,5;5688;0,616912799;0,147855134;0,235232068;0,108;0;0,17580872;860,3;6,54;0,522;986,8;9;2016
Vieira do Minho;0,77;12367;0,652462198;0,119511603;0,228026199;0,121;0;0,080860354;838,3;6,16;0,52;4320,2;11;2016
Vila de Rei;0,24;3399;0,578993822;0,070314798;0,35069138;0,052;0;0,294204178;762,3;5,5;0,548;1734;5;2016
Vila do Bispo;0,37;5204;0,615872406;0,122790161;0,261337433;0,056;0;0,192159877;898,3;6,97;0,511;1050,7;11;2016
Vila do Conde;0;79459;0,682200883;0,150077398;0,167721718;0,078;0,012585107;0,025170214;965,3;7,39;0,52;19930,8;79;2016
Vila Flor;0,64;6292;0,607914812;0,099332486;0,292752702;0,109;0;0,158931977;764,3;5,97;0,524;6674,5;7;2016
Vila Franca de Xira;0;140266;0,67777651;0,16514337;0,157080119;0,059;0,007129311;0,021387934;1096,3;8,45;0,522;45836,2;138;2016
Vila Nova da Barquinha;0,23;7294;0,611324376;0,12832465;0,260350973;0,062;0;0,137098985;810,3;7,38;0,519;7330,5;9;2016
Vila Nova de Cerveira;0,22;9004;0,644269214;0,126832519;0,228898267;0,053;0;0,11106175;910,3;6,81;0,523;4632,5;9;2016
Vila Nova de Famalicao;0;133153;0,701523811;0,142400096;0,156076093;0,075;0,015020315;0,015020315;908,3;7,32;0,519;12186,7;120;2016
Vila Nova de Foz Côa;0,53;6848;0,587324766;0,096962617;0,315712617;0,077;0;0,146028037;859,3;5,95;0,531;1211,7;8;2016
Vila Nova de Gaia;0;301496;0,682921166;0,143948842;0,173129992;0,13;0,013267174;0,019900762;1007,3;7,97;0,527;33665,1;281;2016
Vila Nova de Paiva;0;4929;0,61391763;0,121119903;0,264962467;0,09;0;0,202880909;745,3;6,02;0,531;5159;4;2016
Vila Nova de Poiares;0,41;7069;0,678030839;0,135379827;0,186589334;0,073;0;0,141462725;822,3;6,74;0,529;7277,5;7;2016
Vila Pouca de Aguiar;0,41;12494;0,617656475;0,099327677;0,283015848;0,094;0;0,080038418;802,3;5,86;0,524;4384,5;9;2016
Vila Real;0,34;50501;0,671353043;0,136452744;0,192194214;0,095;0,019801588;0,039603176;933,3;8,19;0,524;8642,1;74;2016
Vila Real de Santo Antonio;0,2;19065;0,643273013;0,152006294;0,204720692;0,093;0;0,052452137;866,3;7,38;0,531;3185,1;28;2016
Vila Velha de Rodao;0,5;3304;0,554782082;0,04842615;0,396791768;0,047;0;0,302663438;1072,3;5,46;0,536;879,1;4;2016
Vila Verde;0,08;47487;0,669972835;0,150757049;0,179270116;0,075;0,021058395;0,021058395;809,3;6,56;0,521;5998,1;39;2016
Vila Vicosa;0,19;8039;0,651449185;0,120039806;0,228511009;0,073;0;0,124393581;960,3;6,8;0,513;2076,4;9;2016
Vimioso;0,72;4308;0,539461467;0,097725162;0,36281337;0,083;0;0,232126277;756,3;5,28;0,516;581,9;5;2016
Vinhais;0,75;8357;0,52183798;0,075864545;0,402297475;0,104;0;0,119660165;773,3;5,25;0,514;1504,1;6;2016
Viseu;0,23;98129;0,659601137;0,143657838;0,196741025;0,081;0,020381335;0,030572002;896,3;8,08;0,532;12400,4;134;2016
Vizela;0;23807;0,728567228;0,141513;0,129919771;0,072;0;0,042004452;756,3;6,62;0,514;11901,5;18;2016
Vouzela;0,81;10068;0,60965435;0,110349623;0,279996027;0,065;0;0,099324593;812,3;6,22;0,526;2104,4;9;2016
